Layer1,Layer2,DKL
11,17,19.88268701005216
12,17,14.473761231025193
13,17,12.113106104229411
14,17,8.452201386199455
15,17,7.604280047091861
16,17,1.8063553724202848
1,18,59.0274133682251
2,18,50.74758300266694
3,18,47.73072831440368
4,18,44.699783017271784
5,18,43.42244381940617
6,18,37.416733328083296
7,18,35.63038349931127
8,18,32.69469987512259
9,18,27.439074082136788
10,18,25.69140736928461
11,18,22.79111431294557
12,18,17.38218801530777
13,18,15.021534025277937
14,18,11.360629132680206
15,18,10.512707444554065
16,18,4.714782980274741
17,18,2.9084274894414586
1,19,64.33083629608154
2,19,56.05101051507518
3,19,53.03415399089863
4,19,50.0032066480087
5,19,48.725868465116264
6,19,42.72015962823732
7,19,40.93381162458487
8,19,37.998126145220105
9,19,32.74249912779424
10,19,30.994834145108314
11,19,28.094540633242534
12,19,22.685614806430763
13,19,20.324960361073405
14,19,16.664053676715824
15,19,15.816134066443745
16,19,10.018208833184524
17,19,8.211853738434115
18,19,5.303425567138742
1,20,66.10846710205078
2,20,57.82863985025324
3,20,54.81178593693767
4,20,51.780839670306705
5,20,50.503499466383005
6,20,44.49779153020185
7,20,42.71144105564983
8,20,39.77575471570405
9,20,34.5201274694417
10,20,32.77246421729632
11,20,29.872170095532667
12,20,24.463245343379423
13,20,22.102590382414522
14,20,18.441683692021815
15,20,17.593763862167446
16,20,11.795838680160605
17,20,9.98948330366844
18,20,7.081055380678999
19,20,1.7776298570607936
1,21,69.02683925628662
2,21,60.74701310158707
3,21,57.730158285856305
4,21,54.6992098684932
5,21,53.421874065050815
6,21,47.416162665205796
7,21,45.62981404611527
8,21,42.69412755555849
9,21,37.43850383954424
10,21,35.690836432947194
11,21,32.79054248280427
12,21,27.38161847746212
13,21,25.02096347875647
14,21,21.360055706986902
15,21,20.51213666859636
16,21,14.71421185553196
17,21,12.907856790045209
18,21,9.999427542449755
19,21,4.696002805043667
20,21,2.9183730863336894
1,22,74.33483982086182
2,22,66.0550106249284
3,22,63.038153712164785
4,22,60.00721066305323
5,22,58.72987111096131
6,22,52.724161935051804
7,22,50.93780968214144
8,22,48.002128170989906
9,22,42.74650157566293
10,22,40.998837951799764
11,22,38.09854172397648
12,22,32.68961618130632
13,22,30.328961638773507
14,22,26.668054172449345
15,22,25.820135439334962
16,22,20.022210979256986
17,22,18.215854900499675
18,22,15.307425596362428
19,22,10.00400174203276
20,22,8.22637170011151
21,22,5.307998206049674
1,23,76.08154201507568
2,23,67.80171598866582
3,23,64.78485722484766
4,23,61.753912852095254
5,23,60.47657498429362
6,23,54.47086398118715
7,23,52.684514066397824
8,23,49.74882919865133
9,23,44.49320114139941
10,23,42.745537528646416
11,23,39.84524225621318
12,23,34.436318743651036
13,23,32.075663921582
14,23,28.414757053394002
15,23,27.566837101008133
16,23,21.768912887705
17,23,19.962557328893308
18,23,17.054128798887632
19,23,11.750703691139726
20,23,9.973074115136999
21,23,7.054700473846834
22,23,1.7467019654525873
1,24,79.02540397644043
2,24,70.74557963456027
3,24,67.7287215932447
4,24,64.69777500614828
5,24,63.420436255043114
6,24,57.41472802851433
7,24,55.628376682101575
8,24,52.69269467122598
9,24,47.43706573816112
10,24,45.68940006797623
11,24,42.78910727870861
12,24,37.380182655450895
13,24,35.019527326783944
14,24,31.358619021498633
15,24,30.510699792604218
16,24,24.71277458424232
17,24,22.906420151918745
18,24,19.99799155210269
19,24,14.694567302572533
20,24,12.916937557354954
21,24,9.99856393636881
22,24,4.69056478910023
23,24,2.9438636330710004
1,25,84.3467493057251
2,25,76.06692417245358
3,25,73.05006536613655
4,25,70.01911909809314
5,25,68.74178221976115
6,25,62.73607384333067
7,25,60.94972059081168
8,25,58.01403818448434
9,25,52.75841207039122
10,25,51.01074798472588
11,25,48.11045191572588
12,25,42.70152635488681
13,25,40.340872740082375
14,25,36.6799637352572
15,25,35.83204519718217
16,25,30.034119712099585
17,25,28.227765364288047
18,25,25.31933590183479
19,25,20.015912373107206
20,25,18.238281900694222
21,25,15.3199083497043
22,25,10.011909011788276
23,25,8.26520904763745
24,25,5.321344053805834
1,26,86.75125694274902
2,26,78.47143535246141
3,26,75.45457601646194
4,26,72.42363596386895
5,26,71.14629158728565
6,26,65.14058489308246
7,26,63.354233413842884
8,26,60.41854796977184
9,26,55.162923341773634
10,26,53.415258194126615
11,26,50.51495922152252
12,26,45.1060348950553
13,26,42.74538302111444
14,26,39.084475500627185
15,26,38.236555135675
16,26,32.438632498128094
17,26,30.632275898609667
18,26,27.723844886746562
19,26,22.420423116205555
20,26,20.642793368089293
21,26,17.724417981672136
22,26,12.41642028396635
23,26,10.66971965804498
24,26,7.725854634702943
25,26,2.404510782151248
1,27,90.3534927368164
2,27,82.0736626915168
3,27,79.05680693779141
4,27,76.02586239270067
5,27,74.74852288678699
6,27,68.74281467014754
7,27,66.95646247105533
8,27,64.02078225213208
9,27,58.765154674850365
10,27,57.01748964285962
