Layer1,Layer2,DKL
17,132,3.4662484554573894
17,138,3.5733838034793735
17,141,3.636145867872983
17,147,3.7331926627084613
17,150,3.7869284064508975
22,25,0.20092672912869602
22,32,0.4595978249562904
22,35,0.5894368515000679
22,40,0.8141766584594734
22,43,0.9381535286083817
22,49,1.0944795458344743
22,52,1.1910829594125971
22,59,1.3145328627433628
22,62,1.3925798027776182
22,67,1.5856845055241138
22,70,1.7052847936283797
22,76,1.8672132992651314
22,79,1.9548042605165392
22,85,2.07215542672202
22,88,2.1466518472880125
22,94,2.2483585928566754
22,97,2.3102138503454626
22,102,2.4567375446204096
22,105,2.5310019804164767
22,111,2.63765625259839
22,114,2.6994693027809262
22,121,2.792560970177874
22,124,2.84633926092647
22,129,2.9664620987605304
22,132,3.0412159408442676
22,138,3.148351329844445
22,141,3.211113329976797
22,147,3.3081601839512587
22,150,3.3618958704173565
25,32,0.25867108449165244
25,35,0.3885101023770403
25,40,0.6132499021477997
25,43,0.7372267564642243
25,49,0.8935527910944074
25,52,0.99015623080777
25,59,1.1136061598081142
25,62,1.191653047921136
25,67,1.3847578120185062
25,70,1.504357997328043
25,76,1.6662864849204198
25,79,1.753877465147525
25,85,1.8712286058580503
25,88,1.9457250630948693
25,94,2.0474317996995524
25,97,2.1092871106229722
25,102,2.2558108747471124
25,105,2.3300752798095345
25,111,2.43672952381894
25,114,2.498542624292895
25,121,2.591634246520698
25,124,2.645412618527189
25,129,2.7655353418085724
25,132,2.8402891710866243
25,138,2.947424614802003
25,141,3.0101866100449115
25,147,3.1072334642522037
25,150,3.1609691753983498
32,35,0.1298390086449217
32,40,0.35457880396279506
32,43,0.47855564777273685
32,49,0.6348816790268756
32,52,0.731485107273329
32,59,0.8549350024550222
32,62,0.9329819123959169
32,67,1.1260866235243157
32,70,1.2456868481240235
32,76,1.407615349860862
32,79,1.4952063051750883
32,85,1.6125575333135203
32,88,1.6870539016090333
32,94,1.7887606710428372
32,97,1.850615908857435
32,102,1.997139654471539
32,105,2.0714041063329205
32,111,2.1780583197250962
32,114,2.2398713825969025
32,121,2.3329630843363702
32,124,2.386741377064027
32,129,2.5068641214165837
32,132,2.581618018914014
32,138,2.6887534018605947
32,141,2.7515153975691646
32,147,2.848562224302441
32,150,2.9022979862056673
35,40,0.22473981397342868
35,43,0.3487166762497509
35,49,0.5050427027745172
35,52,0.6016461635590531
35,59,0.7250960930250585
35,62,0.8031429633265361
35,67,0.9962477263179608
35,70,1.1158479467849247
35,76,1.2777764708735049
35,79,1.3653674706583843
35,85,1.482718632032629
35,88,1.5572150370571762
35,94,1.6589217727305368
35,97,1.7207771469838917
35,102,1.8673008572077379
35,105,1.941565332468599
35,111,2.0482194813666865
35,114,2.1100325997686014
35,121,2.2031242677476257
35,124,2.2569025980774313
35,129,2.3770253902766854
35,132,2.4517792222322896
35,138,2.5589146193815395
35,141,2.621676634182222
35,147,2.7187234833836555
35,150,2.772459213505499
40,43,0.12397687202610541
40,49,0.28030290387687273
40,52,0.3769063655345235
40,59,0.5003562925558072
40,62,0.5784031930088531
40,67,0.7715079750632867
40,70,0.8911081866826862
40,76,1.0530367335304618
40,79,1.1406276877969503
40,85,1.2579788998700678
40,88,1.3324752984335646
40,94,1.4341820225818083
40,97,1.4960373782087117
40,102,1.642561056651175
40,105,1.7168255293508992
40,111,1.8234797725453973
40,114,1.8852928463602439
40,121,1.9783845592755824
40,124,2.032162876566872
40,129,2.1522856598021463
40,132,2.227039566496387
40,138,2.3341749453684315
40,141,2.3969369635451585
40,147,2.4939838708378375
40,150,2.5477194820996374
43,49,0.1563260216935305
43,52,0.25292947902926244
43,59,0.3763793792750221
43,62,0.4544262691633776
43,67,0.6475310443202034
43,70,0.7671312557067722
43,76,0.9290597592480481
43,79,1.0166507244575769
43,85,1.1340018983464688
43,88,1.2084983322420157
43,94,1.310205069661606
43,97,1.372060411493294
43,102,1.5185840470949188
43,105,1.592848521657288
43,111,1.699502804898657
