Layer1,Layer2,DKL
6-,78-,6.305154800415039
6-,79-,6.305154800415039
6-,81-,6.387014210224152
6-,82-,6.387014210224152
6-,84-,6.538533449172974
8-,12-,0.5931935627013445
8-,13-,0.5931935627013445
8-,15-,1.1606429629027843
8-,16-,1.1606429629027843
8-,18-,1.540362685918808
8-,19-,1.540362685918808
8-,21-,2.0402659475803375
8-,22-,2.0402659475803375
8-,25-,2.2797976806759834
8-,26-,2.2797976806759834
8-,28-,2.556089624762535
8-,29-,2.556089624762535
8-,31-,2.7472888752818108
8-,32-,2.7472888752818108
8-,34-,3.088131882250309
8-,35-,3.088131882250309
8-,38-,3.2455984354019165
8-,39-,3.2455984354019165
8-,41-,3.4641061797738075
8-,42-,3.4641061797738075
8-,44-,3.6378098726272583
8-,45-,3.6378098726272583
8-,47-,3.9331842437386513
8-,48-,3.9331842437386513
8-,50-,4.097505256533623
8-,51-,4.097505256533623
8-,53-,4.297166883945465
8-,54-,4.297166883945465
8-,56-,4.425496697425842
8-,57-,4.425496697425842
8-,59-,4.574464932084084
8-,60-,4.574464932084084
8-,62-,4.648666217923164
8-,63-,4.648666217923164
8-,65-,4.770571976900101
8-,66-,4.770571976900101
8-,68-,4.839021623134613
8-,69-,4.839021623134613
8-,71-,4.942118003964424
8-,72-,4.942118003964424
8-,75-,4.992937847971916
8-,76-,4.992937847971916
8-,78-,5.08322973549366
8-,79-,5.08322973549366
8-,81-,5.1650892943143845
8-,82-,5.1650892943143845
8-,84-,5.316608473658562
9-,12-,0.5931935627013445
9-,13-,0.5931935627013445
9-,15-,1.1606429629027843
9-,16-,1.1606429629027843
9-,18-,1.540362685918808
9-,19-,1.540362685918808
9-,21-,2.0402659475803375
9-,22-,2.0402659475803375
9-,25-,2.2797976806759834
9-,26-,2.2797976806759834
9-,28-,2.556089624762535
9-,29-,2.556089624762535
9-,31-,2.7472888752818108
9-,32-,2.7472888752818108
9-,34-,3.088131882250309
9-,35-,3.088131882250309
9-,38-,3.2455984354019165
9-,39-,3.2455984354019165
